name,hex,rgb,cmyk,description
Rainbow Yellow,#F5DE10,"(245, 222, 16)","(0, 9, 93, 4)","['As you delve through the seemingly infinite shades of yellow, you may notice that there are small degrees of difference between the many types of bright yellow. This one, which is somewhat confusingly called Rainbow Yellow, is a little darker than some. Its depth means that it offers a powerful statement, and the presence of red in it makes it look slightly golden, too.']"
Deep Yellow,#EACE09,"(234, 206, 9)","(0, 12, 96, 8)","['Deep Yellow is very similar to Rustic Yellow, and it’s great to use if you want to give your project a somewhat vintage vibe. If you’re looking for a yellow that’s close to a jewel tone but is still very bright, Deep Yellow might be your answer.']"
Dull Yellow,#DECA57,"(222, 202, 87)","(0, 9, 61, 13)","['This color is somewhat unfortunately named, but Dull Yellow is actually a very pretty neutral-like yellow. It’s a little lighter than most, and it’s roughly the color of dijon mustard.']"
Hot Yellow,#FFDA00,"(255, 218, 0)","(0, 15, 100, 0)","['In contrast to Dull Yellow, Hot Yellow is more excitingly named. This deep yet bright yellow has a touch of magenta, making it similar to Fire Yellow. Hot Yellow is a nice alternative to very bright shades like Snapchat Yellow if you want something with plenty of presence but prefer your yellows a little darker.']"
Traffic Yellow (RAL),#EFB700,"(239, 183, 0)","(0, 23, 100, 6)",['Traffic Yellow is somewhat similar to signal yellow in that it’s roughly the same shade of yellow you see on road signs and traffic lights. You may also see school buses in this color.']
Faded Yellow,#ECE3A1,"(236, 227, 161)","(0, 4, 32, 7)","['Faded Yellow has a lovely, parchment-like appearance that gives it some vintage appeal. Faded colors in general are great for creating casual, throwback looks and retro ambience.']"
Solid Yellow,#FFE81C,"(255, 232, 28)","(0, 9, 89, 0)","['“Solid” may seem like an odd descriptor for a color. But in this case, it fits. This yellow has a rich, almost sturdy appearance in contrast to translucent or pastel-like yellow shades. Solid Yellow is a bold color that looks striking alongside other strong solids.']"
Corn,#FBEC5D,"(251, 236, 93)","(0, 6, 63, 2)","['Though the color name is simple, this is actually a beautiful, soft yellow. The color name is apt, too. It’s almost exactly the color of fresh corn. This is an interesting shade of yellow. It’s light, but it isn’t quite a pastel.']"
Dandelion,#F0E130,"(240, 225, 48)","(0, 6, 80, 6)","['Like daffodils, dandelions are cheerful flowers that many associate with spring. Children enjoy sending the plants’ floating seeds out into the air, and anyone can enjoy dandelion greens in a fresh spring or summer salad. This color captures the sunny glow of a new dandelion bloom perfectly, and it’s great for adding a burst of color to your project.']"
Icterine,#FCF75E,"(252, 247, 94)","(0, 2, 63, 1)","['Icterine has a somewhat unusual name. It comes from an ancient Greek word meaning “jaundice.” Despite the fact that it’s designed to have about the same yellow cast as jaundice, Icterine is actually a very pretty shade of yellow that’s close to the color of a newly hatched chick.']"
Sandstorm,#ECD540,"(236, 213, 64)","(0, 10, 73, 7)","['This distinctive sandy yellow is a great choice for wall colorings if you prefer something a little bolder. You might have noticed that many shades of yellow are named after soil types or natural elements. Sandstorm, along with some of these other naturally-named yellows, is an outstanding option if you’re trying to cultivate a rustic look.']"
Macaroon,#F9E076,"(249, 224, 118)","(0, 10, 53, 2)","['This tasty-sounding yellow color is great to use if you like warm, smooth-looking colors that aren’t overpowering. Macaroon is almost exactly the color of toasted coconut. It makes a nice backdrop color, and it’s demure enough to get along with most neutrals.']"
Urobilin,#E1AD21,"(225, 173, 33)","(0, 23, 85, 12)","['This color is a pretty, deep golden yellow that’s almost the color of sand. But despite that fact, it does have a somewhat unfortunate name. It’s named Urobilin after the naturally-occurring chemical that causes urine to be yellow.']"
School Bus Yellow,#FFD800,"(255, 216, 0)","(0, 15, 100, 0)","['School Bus Yellow is a color we all know. The National Highway Traffic Safety Administration officially calls it “National School Bus Glossy Yellow” and they use a variation of this color with the hex code #F5A400. Thanks to this association, you might want to consider including School Bus Yellow if you’re working on education-related projects.']"
British Standard BS 4800 10 E 51 Yellow,#EDC001,"(237, 192, 1)","(0, 19, 100, 7)","['This deep yellow is from the British Standard BS 4800, which is a standard for colors used for painting buildings and coordinating colors across projects. Essentially, it’s a color matching system. This particular shade is deep and slightly golden, and it isn’t quite as orange as Traffic Yellow and similar colors.']"
Mimosa,#FFF4BC,"(255, 244, 188)","(0, 4, 26, 0)","['This delicate, pale yellow color has a very slight pink hue to it. It’s closer to the color of pinkish mimosa flowers than to the orange color of the mimosa beverage. Because it’s so pale, Mimosa works as an alternative to stark white. It’s a great way to add some extra dimension to a design project.']"
Marigold,#FCB810,"(252, 184, 16)","(0, 27, 94, 1)","['Even if you know next to nothing about gardening, chances are that you’re familiar with the marigold, the cheery little flower that brings a little sun to gardens everywhere. This color is remarkably close to the color of actual marigolds. If you’re looking for a light, springlike orangish-yellow, this is a good color to use.']"
Daisy Yellow,#F8DC75,"(248, 220, 117)","(0, 11, 53, 3)","['This soft, gentle pale yellow was inspired by the yellow center of the daisy flower. It’s close to a pastel yellow with a touch of orange. It would be very at home in a color palette with other soft pastels.']"
Forest green,#0B6623,"(11, 102, 35)","(89, 0, 66, 60)","['We all know what forest green looks like; it’s a rich, deep color that reminds one of Evergreen trees. It’s a nice shade if you’re looking for a darker color for your design.']"
Olive,#708238,"(112, 130, 56)","(14, 0, 57, 49)","['A color you may recognize if you’re familiar with olives, like those infamous fruits (yes olives are fruits) we all know and either love or hate. Olive green shouldn’t need much description for you to picture what it looks like.']"
Hunter green,#3F704D,"(63, 112, 77)","(44, 0, 31, 56)","['Hunter green is a pale green. It’s a mellow color that reminds one of a forest floor near the end of autumn; the grass isn’t vibrant at this time of year and because of this lack of vibrancy, the grass can look pale. That’s what hunter green can be described as.']"
Jungle green,#29AB87,"(41, 171, 135)","(76, 0, 21, 33)","['Because jungle green is such a rich and versatile color, it can be utilized for almost everything.']"
Tropical Rainforest,#00755E,"(0, 117, 94)","(100, 0, 20, 54)","['Jungle green', 'Hex #29AB87', 'RGB 41, 171, 135', 'CMYK 76, 0, 21, 33']"
Amazon,#3B7A57,"(59, 122, 87)","(52, 0, 29, 52)","['Tropical Rainforest', 'Hex #00755E', 'RGB 0, 117, 94', 'CMYK 100, 0, 20, 54']"
Deep Jungle green,#004B49,"(0, 75, 73)","(100, 0, 3, 71)","['Amazon', 'Hex #3B7A57', 'RGB 59, 122, 87', 'CMYK 52, 0, 29, 52']"
Medium Jungle green,#1C352D,"(28, 53, 45)","(47, 0, 15, 79)","['Deep Jungle green', 'Hex #004B49', 'RGB 0, 75, 73', 'CMYK 100, 0, 3, 71']"
Dark Jungle green,#1A2421,"(26, 36, 33)","(28, 0, 8, 86)","['Medium Jungle green', 'Hex #1C352D', 'RGB 28, 53, 45', 'CMYK 47, 0, 15, 79']"
Myrtle green,#317873,"(49, 120, 115)","(59, 0, 4, 53)","['If you need an idea of what myrtle green might look like, the modern cricket caps worn by Australian test cricketers are dyed myrtle green.']"
Pine green,#01796F,"(1, 121, 111)","(99, 0, 8, 53)",['Pine green is what you would think it looks like. It’s a rich color and a shade of spring green that is akin to the color of pine trees. It has been an official color in the Crayola company since 1903.']
Persian green,#00A693,"(0, 166, 147)","(100, 0, 11, 35)","['Persian green is a unique color that doesn’t tend to be used often. It’s a color that is typically seen in Persian carpets and pottery. It’s a color that you can find all over Iran due to its positive connotation, as the color is renowned for representing nature, heaven, and sanctity.']"
Sacramento green,#043927,"(4, 57, 39)","(93, 0, 32, 78)","['Aptly named because of its use as the official color for California’s Sacramento State University. While this color might not see much use outside of the official capacity for the college, it’s a variation of green that you should know exist.']"
Sea green,#2E8B57,"(46, 139, 87)","(67, 0, 37, 45)","['Sea green is a color that resembles the seafloor, which is then reflected through the water. So if you’ve ever gone swimming at a beach and found that the water had a green tinge to it, that effect is caused by sea green.']"
Jade green,#00A86B,"(0, 168, 107)","(100, 0, 36, 34)","['Jade green got its name due to the fact that its color closely resembles that of the jade gemstone, despite the fact that the hue of jades themselves can vary widely.']"
Fern green,#4F7942,"(79, 121, 66)","(35, 0, 45, 53)","['Fern green got its name as the color closely resembles fern leaves. In 1998, Crayola officially included fern green into their products, though it tends to be fairly lighter than the official color swatches for fern green.']"
Army green,#4B5320,"(75, 83, 32)","(10, 0, 61, 67)","['Army green is a color that has been used in militaries since World War II or even before that period, although the hue of army green in military uniforms varies between nations.']"
Russian green,#679267,"(103, 146, 103)","(29, 0, 29, 43)","['Russian green has a similar history to some other variations of green that appear in this list. It got the name Russian green when it started being used as the shade of green worn by many regiments of the Imperial Russian Army, from 1700 to 1914.']"
Pakistan green,#006600,"(0, 102, 0)","(100, 0, 100, 60)",['Pakistan green is a dark shade of green that is primarily used in web development and graphic design. It gets the name from its use as the background color of the Pakistani flag.']
Midnight green,#004953,"(0, 73, 83)","(100, 12, 0, 67)","['Midnight green is a relatively dark, green-bluish color. It’s the official primary color of the Philadelphia Eagles, which is why it’s also sometimes referred to as eagle green.']"
India green,#138808,"(19, 136, 8)","(86, 0, 94, 47)",['India green gets its name from its official use as the color of the lower band of the flag of India. The color is used in the flag to represent fertility and prosperity.']
Hunter green,#355E3B,"(53, 94, 59)","(44, 0, 37, 63)","['Hunter green is the official primary color of the Green Bay Packers, as well as the New York Jets from a period of 1998 to 2019.']"
Avocado,#568203,"(86, 130, 3)","(34, 0, 98, 49)","['This is a lovely, deep green that isn’t quite as dark as the skin of most avocados. However, if you want to inspire a sense of calm and even evoke the peace of a forest, this is a great color to choose for your next project.']"
Kaitoke,#004830,"(0, 72, 48)","(100, 0, 33, 72)","['This deep green is reminiscent of vast forests, which seems appropriate. It’s named for the Kaitoke Regional Park in New Zealand. For a darker green that still has a lot of energy to it, Kaitoke is an excellent choice.']"
Chateau,#48A860,"(72, 168, 96)","(57, 0, 43, 34)","['This dignified green makes a beautiful wall color if you prefer the slightly darker look. Paler and lighter than olive, Chateau also looks very nice when lightened to a paler green tint.']"
Dark Moss Green,#4A5D23,"(74, 93, 35)","(20, 0, 62, 64)","['If you’re looking for a deeper green that approaches the level of a neutral color, Dark Moss Green might be your answer. At first glance, this brownish green looks unremarkable. But it offers a quiet elegance that makes it perfect for a backdrop, or even for a text color against a cream white background.']"
Fun,#007848,"(0, 120, 72)","(100, 0, 40, 53)","['You might expect a green called “fun” to be a bright, neon-like shade. However, this green is surprisingly somewhat dark. It’s roughly between a forest and hunter green. If you’re looking for a nice dark green, this one is certainly an option.']"
Pantone Artichoke Green,#4B6F44,"(75, 111, 68)","(32, 0, 39, 56)","['Distinct from Artichoke Green, this color comes from Pantone, the world-renowned color-matching company. Its grayish-green shade does get close to the color of the outside of an artichoke, too.']"
Viridian,#609078,"(96, 144, 120)","(33, 0, 17, 44)","['Bluish greens tend to inspire a sense of calm, and Viridian does just that. This deep and peaceful green looks a lot like the ocean on a cloudy day. Its grayish quality makes it close to being a neutral, but not quite.']"
Reseda Green,#6C7C59,"(108, 124, 89)","(13, 0, 28, 51)","['This interesting shade is similar to Russian Green, but it’s a bit darker. It gets its name from the plant Reseda odorata, and it is included as part of Germany’s RAL color standard.']"
Shamrock Green,#009E60,"(0, 158, 96)","(100, 0, 39, 38)","['We all know of the shamrock, a good-luck charm and symbol of Ireland. And while most shamrocks have a bit more yellow in them than this green does, this shamrock green is nonetheless a pretty, sprightly green that can add some life to your project.']"
Verdun,#487800,"(72, 120, 0)","(40, 0, 100, 53)","['Verdun is a city in northern France, and it’s also the name of this interesting dark green. Despite its depth, Verdun manages to still be fairly energetic. This is thanks to its high yellow CMYK value. However, the relatively high amounts of black and blue stop it from becoming overly bright.']"
Castleton Green,#00563B,"(0, 86, 59)","(100, 0, 31, 66)","['This green is the official color of Castleton University in Vermont. It’s a bluish pine green with a stately air to it, and it looks especially nice against white. If you’re looking for a bluish twist on a classic color, this is a great option.']"
Bottle Green,#006A4E,"(0, 106, 78)","(100, 0, 26, 58)","['As the name suggests, this color is similar to that of a dark green glass bottle (and especially close to the color of an older bottle). It’s another bluish green, but it leans more to the blue side (as evidenced by the 100% cyan value).']"
Cadmium Green,#006B3C,"(0, 107, 60)","(100, 0, 44, 58)","['Cadmium Green, sometimes also called Empire, is a bold and confident shade that’s just a bit lighter than hunter green. It’s deep without being overly dark, making it a well-balanced choice for most projects.']"
Camouflage Green,#78866B,"(120, 134, 107)","(10, 0, 20, 47)","['There are practically as many camouflage patterns as there are terrains. But Camouflage Green (or a very close color) can be found in most. This is a unique, bluish-gray green that works as a neutral. It makes an excellent, quiet wall color, and it also looks nice in a lighter tint.']"
Asparagus,#87A96B,"(135, 169, 107)","(20, 0, 37, 34)","['This sage-like green isn’t really the color of asparagus, but it’s nonetheless a classic, beautiful color that’s well-suited to a variety of uses. Asparagus is slightly muted, and it pairs well with soft pinks and purples.']"
GO Green,#00AB66,"(0, 171, 102)","(100, 0, 40, 33)","['This standout shade of green looks a bit like the needles of a blue spruce tree. It’s a medium green in color, but its slight blue cast makes it a bit different from most colors on the list.']"
Phthalo Green,#123524,"(18, 53, 36)","(66, 0, 32, 79)","['This oddly-named color is a synthetic green pigment that’s frequently used to make oil and acrylic paints. Among the ingredients for the pigment are copper and the chemical phthalocyanine, which is where the name comes from. This deep green is almost exactly the same color as the pigment itself.']"
Napier Green,#2A8000,"(42, 128, 0)","(67, 0, 100, 50)","['This is an interesting bright-green color with a high amount of yellow. If you know about supercars, you might recognize the color as one that is sometimes used on McLaren cars. If you need a high-energy color similar to Kelly Green, Napier Green is a good one to look into.']"
Feldgrau,#4D5D53,"(77, 93, 83)","(17, 0, 11, 64)","['If you’re a history buff, Feldgrau may look familiar. This grayish green color was the official color of the uniforms of German soldiers from the early 1900s to the 1940s. If you need a stately gray with just a hint of green, Feldgrau is a good color to choose.']"
Rifle Green,#444C38,"(68, 76, 56)","(11, 0, 26, 70)",['This deep olive green gets its name from the fact that it (or colors like it) is sometimes used as the uniform color for rifle regiments. It’s an ideal choice if you need a darker color but don’t want to go for the more typical black or plain dark gray.']
British Racing Green,#004225,"(0, 66, 37)","(100, 0, 44, 74)","['As you’ve likely figured out from the name, British Racing Green is the official color of the United Kingdom’s motor racing. It’s a deep green that looks a lot like both hunter and forest greens.']"
Corn Green,#71A92C,"(113, 169, 44)","(33, 0, 74, 34)","['Most of us likely don’t think of corn when we imagine the color green. However, this dusky greenish-yellow is just about the exact color of the leaves that cover an ear of corn. If you need a shade of green that’s light and yellow-heavy without being overly bright, this is a great candidate.']"
Christmas Green,#00873E,"(0, 135, 62)","(100, 0, 54, 47)","['If you need a color to commemorate the most wonderful time of the year, Christmas Green is it. It’s bright yet deep, and it’s just about the exact shade of green icing you’d make to decorate Christmas tree cookies.']"
Irish Green,#009A44,"(0, 154, 68)","(100, 0, 56, 40)","['From green fields to shamrocks to the green bar on the flag, green has long been a color associated with Ireland. Irish Green is a balanced and pleasantly energetic color that’s ideal for use if you want a classic green that’s more blue than yellow.']"
Road Sign Green,#01735C,"(1, 115, 92)","(99, 0, 20, 55)","['This relaxed blue-green is meant to resemble the colors of some road signs. As you can see from CMYK values, it leans heavily blue as opposed to yellow. This makes it a better choice if your project features primarily cool colors, or if you need a cooler color to balance out a too-hot color scheme.']"
Girl Scout Green,#00AE58,"(0, 174, 88)","(100, 0, 49, 32)","['If you’ve ever bought Girl Scout cookies, then you’re familiar with the green and white logo for the Girl Scouts. But even for other design purposes, this classic and distinguished green is a wise choice. Pair it with white for an elegant look, or pair it with pale pink to make it really pop.']"
Tennis Court Green,#6C935C,"(108, 147, 92)","(27, 0, 37, 42)","['Any tennis player, casual or serious, will immediately recognize this shade of green. Its sage-like color looks great with white, but it also serves as a useful backdrop for brighter colors and pastels.']"
Dark Lemon-Lime,#76BA1B,"(118, 186, 27)","(37, 0, 85, 27)","['When you think of lemon-lime, you probably picture a slightly brighter, yellower shade. This medium green simply offers a little more lime than it does lemon.']"
Maximum Green,#4C9A2A,"(76, 154, 42)","(51, 0, 73, 40)","['Like a few other shades on the list, Maximum Green is close to the classic idea of green most people have in their heads. It’s a bright, strong green with just enough depth, and it works well in a variety of applications. And as you can see from the RGB values, the presence of green dramatically outshines both red and blue.']"
La Salle Green,#087830,"(8, 120, 48)","(93, 0, 60, 53)","['This bold green is the official color of the La Salle Greenies. This is the varsity team at La Salle Green Hills, a school in the Philippines. In the NCAA, the Greenies are the junior affiliate team of the St. Benilde Blazers.']"
Spanish Viridian,#007F5C,"(0, 127, 92)","(100, 0, 28, 50)","['This bluish-green color is a variant of Viridian, mentioned earlier. However, Spanish Viridian is a bit more green (as opposed to blue) than the generic Viridian.']"
Dartmouth Green,#00703C,"(0, 112, 60)","(100, 0, 46, 56)","['Many colleges have colors involving some form of dark green. This particular shade is the official green of Dartmouth College, an Ivy League college in New Hampshire. The official Dartmouth colors are white and Dartmouth Green. Side-by-side with white, Dartmouth Green creates a pleasing contrast. Though not as loud as some other collegiate colors, this deep green is incredibly elegant.']"
Pine Needle Color,#454D32,"(69, 77, 50)","(10, 0, 35, 70)","['Every so often, you run across a shade of green whose name doesn’t really seem to match up. Pine Needle Color is one of those shades. It’s much more brown than you might expect. Its deep, dark color is partially explained by the high percentage of black compared to yellow and green. If you want a neutral color that has some green in it, the unusual Pine Needle Color is worth considering.']"
Olive Drab,#6B8E23,"(107, 142, 35)","(25, 0, 75, 44)","['Despite its unappealing name, Olive Drab is actually a fairly nice color. It’s slightly lighter than many olive shades, and it’s just about exactly the color of a manzanilla olive. If you like olive greens but want one you don’t see too often, Olive Drab is a good choice.']"
Xanadu,#738678,"(115, 134, 120)","(14, 0, 10, 47)","['At first glance, Xanadu looks more like slate gray than any shade of green. However, as you can see by RGB values, it still does have a relatively high proportion of green. But thanks to also having a good bit of black (as shown in the CMYK values), Xanadu has a largely gray appearance. If you’re looking for a distinctive, uncommon neutral, this is a great one to consider.']"
Dark Olive Green,#556B2F,"(85, 107, 47)","(21, 0, 56, 58)","['When it comes to choosing a shade of green, types of olive are generally popular. Olive is understated yet elegant, and it comes close to being a neutral color. Dark Olive Green is an excellent option. It looks especially nice with various shades of yellow, and it fits in well with neutrals like gray and tan.']"
Green (Munsell),#00A877,"(0, 168, 119)","(100, 0, 29, 34)","['This color is a green featured by the Munsell Color Company. The company was founded by Albert H. Munsell, developer of Munsell Color Theory. Munsell’s Color System focused on the chroma, value, and hue of different colors. “Chroma” refers to intensity, “value” refers to lightness, and “hue” refers to the basic color. This green has a good bit of blue, giving it a pleasing, cool cast.']"
Mughal Green,#306030,"(48, 96, 48)","(50, 0, 50, 62)","['Mughal Green is a shade of green with ancient and royal connections. It’s named for the flag of the Mughal Empire that ruled northern India in the sixteenth, seventeenth, and eighteenth centuries. The flag features a dark green backdrop with a sun and golden lion in the foreground. It’s outlined in deep red.']"
John Deere Green,#367C2B,"(54, 124, 43)","(56, 0, 65, 51)","['John Deere Green is iconic, especially in rural America. It’s the official color used on tractors and mowers made by John Deere. John Deere Green is an interesting shade. It’s somewhere between Kelly Green and Hunter Green. As you may have gathered from seeing the John Deere logo, it looks especially nice when paired with bright yellow.']"
Office Green,#008000,"(0, 128, 0)","(100, 0, 100, 50)","['Office Green looks similar to John Deere Green, even though the name would suggest that it’s best for the indoors as opposed to outdoors. Office Green is one of the most balanced greens on the list. As you can see by the CMYK values, it contains an exactly equal amount of blue and yellow, and then it’s darkened by the presence of black.']"
Kombu Green,#354230,"(53, 66, 48)","(20, 0, 27, 74)","['Kombu Green is easily one of the darkest greens on the list. It’s named after kombu, a form of edible kelp. As you can see from its CMYK value, Kombu Green has a very high percentage of black compared to other colors.']"
Middle Green,#4D8C57,"(77, 140, 87)","(45, 0, 38, 45)","['Sometimes, a project just needs a middle-of-the-road green. That’s where the appropriately-named Middle Green can help. It has very similar amounts of blue and yellow (though slightly more blue), and it’s a balanced shade with a calming effect.']"
Paolo Veronese Green,#009B7D,"(0, 155, 125)","(100, 0, 19, 39)","['This lovely, cool blue-green is named after Paolo Veronese, a renowned Renaissance painter. He was also known as Paolo Caliari, and his most famous paintings include', 'The Feast in the House of Levi', 'and', 'The Wedding at Cana', '. The color is frequently described as being like Viridian but with additional blue.']"
Pullman Green,#3B331C,"(59, 51, 28)","(0, 14, 53, 77)","['When you first look at Pullman Green, you might think it’s simply a very dark brown. However, it’s actually an incredibly deep olive color. The name comes from the Pullman Company, a railroad car manufacturer that operated during the American railroad boom. Its cars were painted this very deep olive green. Originally, the cars were painted chocolate brown. Once the official color was changed to Pullman Green (originally called Brewster Green), the cars continued to be painted in Pullman Green until the company went out of business.']"
Green Screen,#00B140,"(0, 177, 64)","(100, 0, 64, 31)","['Most of us know the green screen as a backdrop of promise. After filming, fantastical backgrounds can be added. This color is just like that of an actual green screen. It’s a pleasing green in its own right, though. With slightly more blue than yellow, it’s a bit on the calmer side, but it still manages to possess a quiet energy.']"
Wageningen Green,#34B233,"(52, 178, 51)","(71, 0, 71, 30)","['This name may seem like a mouthful at first, but it’s the name of a Dutch university. Wageningen Green is simply one of the school’s official colors. It’s somewhat rare in that its CMYK values for blue and yellow are exactly the same, which makes it pleasantly bright yet balanced.']"
Sap Green,#507D2A,"(80, 125, 42)","(36, 0, 66, 51)","['Sap Green is one of the colors that was based on a historical paint. Traditionally, Sap Green was made with ripe buckthorn berries. Newer versions of the color typically aren’t made with berries, but they are nearly identical in color to the original. Sap Green is a balanced green that looks mildly like olive.']"
Old Moss Green,#867E36,"(134, 126, 54)","(0, 6, 60, 47)","['This color is a brownish green with a vintage appeal. And as the name suggests, it is just about the color of old moss. Old Moss Green works well as a neutral, and it looks good paired with other darker shades of green.']"
Slimy Green,#299617,"(41, 150, 23)","(73, 0, 85, 41)","['Slimy Green is another color whose name doesn’t sound particularly appealing. However, the color itself is promising. It’s a deep, rich green that offers plenty of presence despite not being especially dark or especially bright. It’s a great statement-making shade for logos.']"
Dark Spring Green,#177245,"(23, 114, 69)","(80, 0, 39, 55)","['Speaking of spring greens, this is one of the more unusual variants. Dark Spring Green is, as the name suggests, a darker version of Spring Green. But it’s so dark that most people likely wouldn’t consider it to be a spring green. Dark Spring Green looks very similar to Dartmouth Green, and it’s a good choice if you want a dark green but prefer to stay away from common options like Hunter Green.']"
Apple Green,#8DB600,"(141, 182, 0)","(23, 0, 100, 29)","['Despite the similar names, this is a different color from Granny Smith Apple. Apple Green is a little bit darker, and it closely resembles the color of green apples seen in cartoons.']"
Deep Green,#056608,"(5, 102, 8)","(95, 0, 92, 60)","['The name of Deep Green is largely self-explanatory. Its close blue/yellow balance makes it a fairly classic green, and the relatively high percentage of black gives it a “deeper” look, as if it were a deep pool of green. It manages to look deep without being overly dark.']"
Hooker’s Green,#49796B,"(73, 121, 107)","(40, 0, 12, 53)","['Hooker’s Green originally was a pigment designed by botanical illustrator William Hooker, who needed an accurate dark green to paint large amounts of foliage. It was made by combining gamboge and Prussian blue. The color is still often produced, although it’s rarely made with natural pigments.']"
Medium Sea Green,#3CB371,"(60, 179, 113)","(66, 0, 37, 30)","['Like Dark Sea Green, Medium Sea Green is a variant of the very popular Sea Green. This is a beautiful, jade-like green that looks a bit like clear, blue-green ocean water. The color is deep yet cool, making it very centering to look at.']"
Artichoke green,#8F9779,"(143, 151, 121)","(5, 0, 20, 41)",[]
Moss green,#8A9A5B,"(138, 154, 91)","(10, 0, 41, 40)","['A color that is slightly similar to its namesake, as moss green resembles the coloration that you see in moss.']"
Emerald green,#50C878,"(80, 200, 120)","(60, 0, 40, 22)","['Emerald green is one of those unique colors that has been featured a lot in popular culture, from Ireland’s nickname as the', 'Emerald Isle', 'due to the countries abundance of lush greenery, to the infamous city in', 'The Wonderful Wizard of Oz', 'where Dorthy encounters that not only is the food emerald green, but so are the people. Emerald green is a shade of green that isn’t particularly light or bright, as the color is similar to the appearance of an emerald gemstone.']"
Neon green,#39FF14,"(57, 255, 20)","(78, 0, 92, 0)","['Neon green is a very bright shade of green that is primarily seen in psychedelic art, fashion, or if you’ve ever had laser lights in a club flash directly into your eyes, then you have an idea of what this color looks like.']"
Sage green,#9DC183,"(157, 193, 131)","(19, 0, 32, 24)",['This is a greenish-gray color that resembles the color of dried sage leaves.']
Lime green,#C7EA46,"(199, 234, 70)","(15, 0, 70, 8)","['Lime green is a color that resembles the color of the fruit, lime. It’s bright and vivid in coloration.']"
Laurel green,#A9BA9D,"(169, 186, 157)","(9, 0, 16, 27)","['While laurel green sounds like it could be the name of a country singer with several platinum records to her name, laurel green is anything but that. It’s a medium-light hue of greenish-gray, similar in color to asparagus, but lighter than that.']"
Mint green,#98FB98,"(152, 251, 152)","(39, 0, 39, 2)",['Mint green is a color that you will discover if you like mint chocolate chip ice cream. Mint green gets its name because it shares a similar color with the mint leaf.']
Tea green,#D0F0C0,"(208, 240, 192)","(13, 0, 20, 6)",['A light shade of green that gets its name from the color of brewed green tea.']
Kelly green,#4CBB17,"(76, 187, 23)","(59, 0, 88, 27)","['Kelly green is a unique color that only seems to exist in America and was coined back in the early 1900s. Kelly green refers to the fact that the surname Kelly, along with the color green, are both popular in Ireland. Due to the fact that much of America’s early history was made up by the abundance of Irish immigrants, the name grew to popularity in America.']"
Paris green,#50C878,"(80, 200, 120)","(60, 0, 40, 22)","['Paris green has a lengthy range. It can be pale or even a vivid bluish-green, to a deeper shade of regular green itself. Paris green gets its name from the popular pigment that appeared in artists’ paints and was primarily found in inorganic compound copper acetoarsenite.']"
Celadon,#ACE1AF,"(172, 225, 175)","(24, 0, 22, 12)","['In the past, Celadon was used as a glaze in pottery; it was fairly common in Asia for its resemblance to jade.']"
Harlequin,#3FFF00,"(63, 255, 0)","(75, 0, 100, 0)","['If you like a neon, in-your-face green, this bright and exciting color is an excellent choice. While its highlighter-like glow may be too much for some projects, it’s ideal for applications where grabbing attention is absolutely essential.']"
Spring,#00F0A8,"(0, 240, 168)","(100, 0, 30, 6)","['Spring is the season of new beginnings, and this delicate, pale green captures the idea well. Reminiscent of very new shoots and unfolding leaves, it’s ideal if you want a lighter green that isn’t quite a pastel.']"
Screamin’ Green,#76FF7A,"(118, 255, 122)","(54, 0, 52, 0)","['From the name, you’d probably guess that Screamin’ Green is a neon color. However, while it’s fairly bright, it hasn’t quite reached neon level. This color is a lot like seafoam green with a bit less blue.']"
Swamp,#A8C090,"(168, 192, 144)","(13, 0, 25, 25)","['Let’s face it, most of us probably aren’t jumping to get a color called “Swamp.” But if you can get past the drab name, Swamp is actually a pleasant gray-green that can be used as a neutral color in most applications.']"
Mantis,#74C365,"(116, 195, 101)","(41, 0, 48, 24)","['If you’ve ever been transfixed by the beauty of a praying mantis, you might appreciate this interesting green shade. Mantis is close to being a pale hunter green, and it’s a good middle-of-the-road green shade. Not too light, not too dark.']"
Chetwode,#F0FFF0,"(240, 255, 240)","(6, 0, 6, 0)","['Chetwode is a pale, barely-there green, but it’s perfectly balanced. As you can see from the RGB values, it has almost equal amounts of blue and green. And if you’re wondering about the unusual name, Chetwode has the same name as a small village in England.']"
Gin,#D8E4BC,"(216, 228, 188)","(5, 0, 18, 11)","['This pleasantly pale green looks a bit like a diluted form of the color of juniper, the plant used to make gin. It’s a grayish, almost khaki green that’s ideal if you want just a touch of a neutral-like green.']"
Granny Smith Apple,#A8E4A0,"(168, 228, 160)","(26, 0, 30, 11)","['Just about everyone is familiar with the tart crispness of the classic Granny Smith apple. This slightly demure green, while it’s a bit less yellow than most Granny Smiths, is nonetheless a great tribute. It’s ideal if you like mint-like greens but want something slightly darker.']"
Bitter Lime,#BFFF00,"(191, 255, 0)","(25, 0, 100, 0)","['Bitter Lime is an interesting twist on the classic lime green. And just like an actual lime that’s on the tart side, this color has more yellow than blue. The result is an unusual color, but it’s great for applications like advertising when you want a bright color without going to a near-blinding neon shade.']"
Bright Mint,#4FFFB0,"(79, 255, 176)","(69, 0, 31, 0)","['Like Bitter Lime, Bright Mint is a twist on a classic green shade. Specifically, Bright Mint is a little more blue and a little brighter. The result is something that looks like a cross between turquoise and seafoam green. If you need a color that’s eye-catching without being overwhelming, this is a great answer.']"
